Q Id,Doc Id
126,en.15.151.254.2009.11.4
126,en.15.151.464.2009.11.4
126,en.3.326.176.2009.9.4
126,en.2.298.336.2010.1.26
126,en.15.125.170.2009.5.21
126,en.3.333.144.2009.10.25
126,en.3.333.11.2009.10.24
126,en.2.279.2.2009.8.31
126,en.15.123.14.2009.5.8
126,en.13.31.397.2009.12.29
126,en.13.3.434.2009.6.12
126,en.3.331.84.2009.10.10
126,en.15.125.499.2009.5.19
126,en.15.123.179.2009.5.8
126,en.15.123.473.2009.5.9
126,en.13.1.53.2009.5.31
126,en.15.121.413.2009.4.27
126,en.15.121.215.2009.4.26
126,en.15.123.246.2009.5.7
126,en.15.125.65.2009.5.18
126,en.15.121.168.2009.4.27
126,en.15.121.108.2009.4.28
126,en.15.121.162.2009.4.28
126,en.13.27.84.2009.11.19
126,en.15.121.407.2009.4.29
126,en.13.8.362.2009.7.16
126,en.15.121.85.2009.4.28
126,en.15.121.444.2009.4.28
126,en.15.121.350.2009.4.28
126,en.15.121.235.2009.4.28
126,en.2.281.34.2009.9.11
126,en.3.332.40.2009.10.17
126,en.15.190.281.2007.6.13
126,en.15.121.15.2009.4.28
126,en.3.331.91.2009.10.11
126,en.13.25.215.2009.11.8
126,en.2.260.57.2009.5.2
126,en.3.326.126.2009.9.5
126,en.15.151.98.2009.11.3
126,en.15.123.88.2009.5.9
126,en.15.121.143.2009.4.28
126,en.15.236.18.2008.1.24
126,en.13.3.188.2009.6.11
126,en.15.121.232.2009.4.26
126,en.3.326.381.2009.9.2
126,en.2.268.455.2009.6.18
126,en.15.147.306.2009.10.7
126,en.15.62.289.2008.4.18
126,en.2.278.125.2009.8.27
126,en.13.3.20.2009.6.11
127,en.15.103.297.2009.1.4
127,en.15.135.383.2009.7.22
127,en.15.155.108.2009.12.10
127,en.15.156.424.2009.12.10
127,en.2.283.419.2009.9.29
127,en.15.205.431.2007.8.28
127,en.15.136.240.2009.7.21
127,en.15.86.478.2008.9.24
127,en.15.87.388.2008.9.29
127,en.15.132.109.2009.7.1
127,en.2.258.327.2009.4.21
127,en.15.90.350.2008.10.19
127,en.3.361.410.2010.4.27
127,en.15.203.466.2007.8.19
127,en.15.206.354.2007.8.31
127,en.15.124.375.2009.5.15
127,en.2.289.371.2009.11.17
127,en.3.375.193.2007.6.18
127,en.15.249.261.2008.3.10
127,en.15.244.87.2008.2.22
127,en.15.78.254.2008.8.1
127,en.15.128.488.2009.6.5
127,en.3.381.157.2007.7.24
127,en.15.80.156.2008.8.14
127,en.3.343.304.2010.1.13
127,en.15.188.41.2007.6.4
127,en.15.136.110.2009.7.20
127,en.2.279.494.2009.8.31
127,en.15.240.131.2008.2.7
127,en.15.95.108.2008.11.13
127,en.15.77.117.2008.7.28
127,en.3.408.338.2007.11.29
127,en.3.398.95.2007.10.18
127,en.3.378.308.2007.7.7
127,en.15.172.74.2010.3.28
127,en.15.172.67.2010.3.27
127,en.2.289.479.2009.11.13
127,en.3.349.154.2010.2.15
127,en.15.95.392.2008.11.14
127,en.2.263.394.2009.5.25
127,en.15.96.451.2008.11.17
127,en.3.356.418.2010.3.31
127,en.13.27.271.2009.11.20
127,en.3.416.189.2008.1.8
127,en.15.106.236.2009.1.26
127,en.15.139.200.2009.8.14
127,en.15.93.226.2008.11.3
127,en.15.242.414.2008.2.14
127,en.13.55.487.2010.5.21
127,en.15.84.351.2008.9.15
128,en.15.206.323.2007.8.31
128,en.15.225.130.2007.12.6
128,en.3.410.281.2007.12.6
128,en.15.86.41.2008.9.26
128,en.15.128.488.2009.6.5
128,en.3.343.304.2010.1.13
128,en.15.184.430.2010.5.30
128,en.15.184.194.2010.5.30
128,en.13.57.302.2010.5.29
128,en.15.91.424.2008.10.23
128,en.2.317.176.2010.5.28
128,en.3.356.428.2010.3.30
128,en.2.317.112.2010.5.28
128,en.15.154.327.2009.11.26
128,en.2.317.368.2010.5.28
128,en.15.241.393.2008.2.10
128,en.15.115.231.2009.2.12
128,en.2.317.365.2010.5.28
128,en.3.357.197.2010.4.5
128,en.15.218.153.2007.10.31
128,en.15.218.209.2007.10.31
128,en.2.298.222.2010.1.26
128,en.15.218.463.2007.10.31
128,en.2.291.288.2009.11.28
128,en.15.70.461.2008.6.9
128,en.2.317.292.2010.5.28
128,en.15.239.213.2008.2.2
128,en.15.98.73.2008.11.28
128,en.15.77.239.2008.7.28
128,en.15.202.308.2007.8.14
128,en.15.194.165.2007.7.1
128,en.15.98.424.2008.11.27
128,en.15.202.379.2007.8.14
128,en.15.154.454.2009.11.26
128,en.15.188.328.2007.6.6
128,en.3.379.255.2007.7.11
128,en.15.205.446.2007.8.28
128,en.3.390.230.2007.9.11
128,en.15.98.242.2008.11.27
128,en.15.77.429.2008.7.28
128,en.3.356.29.2010.3.29
128,en.15.98.346.2008.11.27
128,en.3.389.34.2007.9.5
128,en.15.239.301.2008.2.4
128,en.15.156.232.2009.12.12
128,en.15.151.280.2009.11.6
128,en.3.379.288.2007.7.11
128,en.15.99.140.2008.12.5
128,en.2.258.201.2009.4.22
128,en.15.70.106.2008.6.12
129,en.2.270.112.2009.7.5
129,en.15.132.44.2009.6.26
129,en.15.132.155.2009.7.1
129,en.15.132.375.2009.6.26
129,en.15.132.63.2009.6.26
129,en.15.132.2.2009.6.27
129,en.15.132.332.2009.6.26
129,en.15.132.479.2009.6.26
129,en.15.132.317.2009.6.26
129,en.15.132.246.2009.6.26
129,en.15.132.195.2009.6.26
129,en.2.271.392.2009.7.8
129,en.15.132.418.2009.6.27
129,en.15.132.5.2009.6.26
129,en.15.132.108.2009.6.28
129,en.15.136.356.2009.7.23
129,en.15.132.54.2009.6.30
129,en.15.139.232.2009.8.11
129,en.3.326.269.2009.9.4
129,en.15.132.102.2009.6.28
129,en.15.132.153.2009.6.28
129,en.15.132.364.2009.6.28
129,en.15.132.336.2009.6.29
129,en.2.278.114.2009.8.25
129,en.3.333.336.2009.10.23
129,en.15.156.271.2009.12.12
129,en.2.279.199.2009.8.29
129,en.2.271.301.2009.7.8
129,en.2.270.11.2009.7.3
129,en.3.333.421.2009.10.29
129,en.2.271.202.2009.7.8
129,en.2.270.133.2009.7.3
129,en.2.275.340.2009.8.4
129,en.2.275.213.2009.8.4
129,en.13.8.68.2009.7.11
129,en.3.348.6.2010.2.9
129,en.15.132.436.2009.6.28
129,en.2.271.371.2009.7.7
129,en.2.270.162.2009.7.2
129,en.15.132.36.2009.6.26
129,en.2.271.315.2009.7.9
129,en.15.132.391.2009.6.28
129,en.2.271.447.2009.7.7
129,en.15.132.202.2009.6.26
129,en.2.275.146.2009.8.6
129,en.15.132.489.2009.6.26
129,en.15.136.376.2009.7.25
129,en.15.132.424.2009.6.28
129,en.3.355.151.2010.3.24
129,en.13.8.280.2009.7.16
130,en.3.329.455.2009.9.20
130,en.2.289.270.2009.11.16
130,en.15.79.245.2008.8.12
130,en.15.203.470.2007.8.21
130,en.3.361.243.2010.4.28
130,en.13.41.322.2010.2.28
130,en.15.95.301.2008.11.14
130,en.15.79.493.2008.8.14
130,en.15.103.72.2009.1.1
130,en.3.378.475.2007.7.9
130,en.15.204.183.2007.8.25
130,en.3.343.308.2010.1.12
130,en.15.71.358.2008.6.17
130,en.15.238.333.2008.1.30
130,en.15.71.200.2008.6.13
130,en.15.251.174.2008.3.16
130,en.15.72.98.2008.6.19
130,en.15.69.149.2008.5.31
130,en.15.241.252.2008.2.11
130,en.15.73.493.2008.6.29
130,en.3.373.16.2007.6.11
130,en.15.100.489.2008.12.12
130,en.15.243.248.2008.2.19
130,en.15.130.443.2009.6.16
130,en.15.244.202.2008.2.23
130,en.15.128.342.2009.6.3
130,en.15.66.397.2008.5.14
130,en.15.225.254.2007.12.3
130,en.3.353.340.2010.3.12
130,en.15.255.169.2008.4.4
130,en.15.68.138.2008.5.25
130,en.15.229.208.2007.12.23
130,en.15.63.457.2008.4.25
130,en.3.389.45.2007.9.1
130,en.3.348.112.2010.2.10
130,en.15.69.344.2008.6.2
130,en.3.352.35.2010.3.8
130,en.3.375.74.2007.6.19
130,en.15.231.464.2008.1.2
130,en.3.358.240.2010.4.15
130,en.15.74.254.2008.7.2
130,en.15.68.28.2008.5.25
130,en.15.105.185.2009.1.19
130,en.15.76.52.2008.7.16
130,en.15.254.112.2008.3.27
130,en.15.113.351.2009.3.15
130,en.15.240.122.2008.2.8
130,en.15.63.243.2008.4.25
130,en.15.209.55.2007.9.25
130,en.3.400.456.2007.10.25
131,en.2.291.52.2009.12.3
131,en.2.320.459.2010.6.12
131,en.2.291.73.2009.11.30
131,en.15.204.115.2007.8.24
131,en.13.31.98.2009.12.29
131,en.15.201.51.2007.8.11
131,en.15.84.467.2008.9.14
131,en.15.132.451.2009.6.26
131,en.15.225.473.2007.12.5
131,en.15.106.22.2009.1.23
131,en.13.31.301.2009.12.30
131,en.15.116.364.2009.2.20
131,en.2.291.92.2009.12.1
131,en.15.212.246.2007.10.7
131,en.15.239.210.2008.2.5
131,en.2.291.2.2009.11.27
131,en.2.283.453.2009.9.30
131,en.15.110.465.2009.3.23
131,en.15.68.91.2008.5.24
131,en.15.188.146.2007.6.6
131,en.15.105.64.2009.1.19
131,en.15.252.44.2008.3.19
131,en.15.106.58.2009.1.26
131,en.15.172.176.2010.3.26
131,en.3.356.120.2010.3.30
131,en.15.77.330.2008.7.28
131,en.15.192.85.2007.6.20
131,en.15.95.392.2008.11.14
131,en.15.235.418.2008.1.19
131,en.15.156.232.2009.12.12
131,en.15.135.244.2009.7.16
131,en.15.93.166.2008.10.31
131,en.3.376.243.2007.6.25
131,en.15.248.59.2008.3.7
131,en.15.111.190.2009.3.23
131,en.15.256.334.2008.4.8
131,en.3.388.317.2007.8.29
131,en.15.254.75.2008.3.27
131,en.3.395.8.2007.10.4
131,en.15.219.443.2007.11.4
131,en.13.59.198.2010.6.8
131,en.15.154.254.2009.11.25
131,en.2.270.376.2009.7.5
131,en.15.62.61.2008.4.18
131,en.15.154.242.2009.11.27
131,en.3.359.338.2010.4.19
131,en.15.104.218.2009.1.8
131,en.15.218.404.2007.11.1
131,en.13.25.252.2009.11.8
131,en.2.291.341.2009.12.2
132,en.15.94.268.2008.11.5
132,en.15.94.273.2008.11.5
132,en.3.417.47.2008.1.8
132,en.15.240.362.2008.2.6
132,en.15.151.199.2009.11.4
132,en.3.329.115.2009.9.26
132,en.15.94.398.2008.11.7
132,en.15.109.493.2009.2.8
132,en.15.70.248.2008.6.8
132,en.15.94.223.2008.11.5
132,en.15.94.125.2008.11.6
132,en.15.94.393.2008.11.6
132,en.15.94.343.2008.11.7
132,en.15.94.321.2008.11.5
132,en.15.94.463.2008.11.4
132,en.2.291.177.2009.12.1
132,en.15.147.218.1970.1.1
132,en.15.115.408.2009.2.12
132,en.15.94.490.2008.11.5
132,en.3.356.438.2010.3.29
132,en.2.317.10.2010.5.28
132,en.15.94.154.2008.11.5
132,en.15.244.78.2008.2.21
132,en.2.270.255.2009.7.2
132,en.15.69.468.2008.6.5
132,en.15.94.94.2008.11.5
132,en.15.246.351.2008.2.28
132,en.15.172.222.2010.3.26
132,en.15.113.257.2009.3.15
132,en.15.95.381.2008.11.11
132,en.15.70.71.2008.6.10
132,en.15.76.358.2008.7.22
132,en.15.75.201.2008.7.11
132,en.15.86.331.2008.9.28
