Q Id,Doc Id
126,en.15.116.402.2009.2.18,0
126,en.3.333.11.2009.10.24,2
126,en.3.329.275.2009.9.24,0
126,en.2.281.34.2009.9.11,2
126,en.13.27.84.2009.11.19,1
126,en.2.278.93.2009.8.26,1
126,en.13.3.434.2009.6.12,1
126,en.15.89.133.2008.10.12,0
126,en.15.78.250.2008.8.6,0
126,en.2.277.129.2009.8.19,1
126,en.15.136.110.2009.7.20,0
126,en.3.366.412.2010.5.26,1
126,en.3.373.63.2007.6.11,0
126,en.15.151.98.2009.11.3,1
126,en.3.326.381.2009.9.2,2
126,en.15.147.306.2009.10.7,1
126,en.3.329.19.2009.9.22,2
126,en.2.260.136.2009.5.1,1
126,en.13.3.65.2009.6.12,2
126,en.15.151.438.2009.11.2,0
127,en.15.156.424.2009.12.10,0
127,en.15.155.108.2009.12.10,0
127,en.2.258.327.2009.4.21,0
127,en.15.203.466.2007.8.19,0
127,en.15.206.354.2007.8.31,0
127,en.15.205.431.2007.8.28,0
127,en.15.87.388.2008.9.29,0
127,en.2.289.371.2009.11.17,0
127,en.15.249.261.2008.3.10,0
127,en.13.1.100.2009.5.31,0
127,en.13.1.103.2009.5.31,0
127,en.13.1.106.2009.6.1,0
127,en.13.1.11.2009.6.2,0
127,en.13.1.110.2009.5.31,0
127,en.13.1.113.2009.6.1,0
127,en.13.1.114.2009.5.31,0
127,en.13.1.115.2009.6.1,0
127,en.13.1.117.2009.6.1,0
127,en.13.1.119.2009.6.1,0
127,en.13.1.12.2009.5.30,0
128,en.15.128.488.2009.6.5,0
128,en.3.356.418.2010.3.31,0
128,en.15.98.424.2008.11.27,0
128,en.15.98.242.2008.11.27,0
128,en.13.27.207.2009.11.20,0
128,en.15.114.409.2009.3.4,0
128,en.15.98.73.2008.11.28,0
128,en.3.408.338.2007.11.29,0
128,en.15.98.346.2008.11.27,0
128,en.3.356.495.2010.3.30,0
128,en.3.356.428.2010.3.30,0
128,en.15.190.458.2007.6.13,0
128,en.15.241.435.2008.2.12,0
128,en.15.114.356.2009.3.6,0
128,en.13.41.4.2010.3.4,0
128,en.15.110.494.2009.3.30,0
128,en.3.398.281.2007.10.19,0
128,en.3.383.229.2007.8.2,0
128,en.2.277.164.2009.8.20,0
128,en.15.179.281.2010.5.4,0
129,en.3.357.473.2010.4.7,0
129,en.3.417.47.2008.1.8,0
129,en.3.361.53.2010.4.28,0
129,en.15.154.93.2009.11.24,0
129,en.15.78.214.2008.8.3,0
129,en.15.132.155.2009.7.1,1
129,en.15.116.405.2009.2.17,0
129,en.15.236.450.2008.1.23,0
129,en.2.279.134.2009.8.27,0
129,en.15.167.402.1970.1.1,0
129,en.15.254.320.2008.3.29,0
129,en.15.235.331.2008.1.16,0
129,en.15.132.44.2009.6.26,1
129,en.15.196.351.2007.7.13,0
129,en.15.167.27.2010.2.23,0
129,en.2.291.236.2009.12.2,0
129,en.15.113.252.2009.3.13,0
129,en.15.61.314.2008.4.13,0
129,en.2.317.332.2010.5.27,0
129,en.2.277.239.2009.8.18,0
130,en.15.71.358.2008.6.17,0
130,en.3.391.435.2007.9.14,0
130,en.15.84.372.2008.9.11,0
130,en.15.71.200.2008.6.13,0
130,en.13.59.287.2010.6.9,0
130,en.15.202.11.2007.8.14,0
130,en.15.235.487.2008.1.16,0
130,en.15.79.493.2008.8.14,0
130,en.3.389.45.2007.9.1,0
130,en.3.407.46.2007.11.28,0
130,en.15.225.254.2007.12.3,0
130,en.15.67.376.2008.5.18,0
130,en.15.79.71.2008.8.12,0
130,en.15.254.44.2008.3.30,0
130,en.13.30.91.2009.12.19,0
130,en.3.361.78.2010.4.30,0
130,en.3.407.77.2007.11.27,0
130,en.2.264.191.2009.5.28,0
130,en.15.102.10.2008.12.24,0
130,en.15.237.193.2008.1.25,0
131,en.15.77.330.2008.7.28,1
131,en.13.1.100.2009.5.31,0
131,en.13.1.103.2009.5.31,0
131,en.13.1.106.2009.6.1,0
131,en.13.1.11.2009.6.2,0
131,en.13.1.110.2009.5.31,0
131,en.13.1.113.2009.6.1,0
131,en.13.1.114.2009.5.31,0
131,en.13.1.115.2009.6.1,0
131,en.13.1.117.2009.6.1,0
131,en.13.1.119.2009.6.1,0
131,en.13.1.12.2009.5.30,0
131,en.13.1.121.2009.6.1,0
131,en.13.1.123.2009.6.1,0
131,en.13.1.124.2009.5.31,0
131,en.13.1.125.2009.6.1,0
131,en.13.1.126.2009.6.2,0
131,en.13.1.129.2009.6.1,0
131,en.13.1.130.2009.6.2,0
131,en.13.1.132.2009.5.31,0
132,en.15.128.488.2009.6.5,0
132,en.15.95.392.2008.11.14,0
132,en.15.105.257.2009.1.20,0
132,en.3.343.304.2010.1.13,0
132,en.15.81.144.2008.8.27,0
132,en.15.81.291.2008.8.28,1
132,en.15.151.176.2009.11.4,0
132,en.15.66.395.2008.5.10,1
132,en.3.363.471.2010.5.11,0
132,en.13.26.68.2009.11.12,0
132,en.2.298.285.2010.1.28,0
132,en.15.82.179.2008.9.4,0
132,en.15.81.353.2008.8.28,1
132,en.15.95.445.2008.11.16,0
132,en.15.82.365.2008.9.4,0
132,en.15.82.220.2008.9.3,0
132,en.15.94.264.2008.11.5,2
132,en.15.128.6.2009.6.4,0
132,en.15.89.207.2008.10.10,1
132,en.15.86.331.2008.9.28,1
133,en.15.70.124.2008.6.10,0
133,en.2.291.364.2009.11.30,0
133,en.3.407.77.2007.11.27,0
133,en.3.391.398.2007.9.14,0
133,en.2.291.335.2009.11.30,0
133,en.3.391.225.2007.9.13,0
133,en.2.279.181.2009.8.27,0
133,en.15.237.316.2008.1.28,0
133,en.3.391.281.2007.9.14,0
133,en.2.298.280.2010.1.27,0
133,en.15.121.366.2009.4.28,0
133,en.3.408.338.2007.11.29,0
133,en.3.392.180.2007.9.23,0
133,en.15.156.348.2009.12.14,0
133,en.15.89.52.2008.10.15,1
133,en.3.359.287.2010.4.20,0
133,en.3.409.114.2007.12.6,0
133,en.3.343.248.2010.1.12,0
133,en.15.151.465.2009.11.1,0
133,en.15.96.397.2008.11.19,0
134,en.15.98.211.2008.11.27,2
134,en.15.84.472.2008.9.14,1
134,en.15.119.24.2009.4.15,1
134,en.15.80.224.2008.8.17,2
134,en.2.305.197.2010.3.16,2
134,en.15.254.257.2008.3.28,1
134,en.13.1.100.2009.5.31,0
134,en.13.1.103.2009.5.31,0
134,en.13.1.106.2009.6.1,0
134,en.13.1.11.2009.6.2,0
134,en.13.1.110.2009.5.31,0
134,en.13.1.113.2009.6.1,0
134,en.13.1.114.2009.5.31,0
134,en.13.1.115.2009.6.1,0
134,en.13.1.117.2009.6.1,0
134,en.13.1.119.2009.6.1,0
134,en.13.1.12.2009.5.30,0
134,en.13.1.121.2009.6.1,0
