Q Id,Doc Id
126,en.15.116.402.2009.2.18
126,en.3.333.11.2009.10.24
126,en.3.329.275.2009.9.24
126,en.2.281.34.2009.9.11
126,en.13.27.84.2009.11.19
126,en.2.278.93.2009.8.26
126,en.13.3.434.2009.6.12
126,en.15.89.133.2008.10.12
126,en.15.78.250.2008.8.6
126,en.2.277.129.2009.8.19
126,en.15.136.110.2009.7.20
126,en.3.366.412.2010.5.26
126,en.3.373.63.2007.6.11
126,en.15.151.98.2009.11.3
126,en.3.326.381.2009.9.2
126,en.15.147.306.2009.10.7
126,en.3.329.19.2009.9.22
126,en.2.260.136.2009.5.1
126,en.13.3.65.2009.6.12
126,en.15.151.438.2009.11.2
127,en.15.156.424.2009.12.10
127,en.15.155.108.2009.12.10
127,en.2.258.327.2009.4.21
127,en.15.203.466.2007.8.19
127,en.15.206.354.2007.8.31
127,en.15.205.431.2007.8.28
127,en.15.87.388.2008.9.29
127,en.2.289.371.2009.11.17
127,en.15.249.261.2008.3.10
127,en.13.1.100.2009.5.31
127,en.13.1.103.2009.5.31
127,en.13.1.106.2009.6.1
127,en.13.1.11.2009.6.2
127,en.13.1.110.2009.5.31
127,en.13.1.113.2009.6.1
127,en.13.1.114.2009.5.31
127,en.13.1.115.2009.6.1
127,en.13.1.117.2009.6.1
127,en.13.1.119.2009.6.1
127,en.13.1.12.2009.5.30
128,en.15.128.488.2009.6.5
128,en.3.356.418.2010.3.31
128,en.15.98.424.2008.11.27
128,en.15.98.242.2008.11.27
128,en.13.27.207.2009.11.20
128,en.15.114.409.2009.3.4
128,en.15.98.73.2008.11.28
128,en.3.408.338.2007.11.29
128,en.15.98.346.2008.11.27
128,en.3.356.495.2010.3.30
128,en.3.356.428.2010.3.30
128,en.15.190.458.2007.6.13
128,en.15.241.435.2008.2.12
128,en.15.114.356.2009.3.6
128,en.13.41.4.2010.3.4
128,en.15.110.494.2009.3.30
128,en.3.398.281.2007.10.19
128,en.3.383.229.2007.8.2
128,en.2.277.164.2009.8.20
128,en.15.179.281.2010.5.4
129,en.3.357.473.2010.4.7
129,en.3.417.47.2008.1.8
129,en.3.361.53.2010.4.28
129,en.15.154.93.2009.11.24
129,en.15.78.214.2008.8.3
129,en.15.132.155.2009.7.1
129,en.15.116.405.2009.2.17
129,en.15.236.450.2008.1.23
129,en.2.279.134.2009.8.27
129,en.15.167.402.1970.1.1
129,en.15.254.320.2008.3.29
129,en.15.235.331.2008.1.16
129,en.15.132.44.2009.6.26
129,en.15.196.351.2007.7.13
129,en.15.167.27.2010.2.23
129,en.2.291.236.2009.12.2
129,en.15.113.252.2009.3.13
129,en.15.61.314.2008.4.13
129,en.2.317.332.2010.5.27
129,en.2.277.239.2009.8.18
